,,,"Final Project, Chat App (out of 121 replies, 130 students)",,,,,,,,,,,,,,,,,,,,,,
3/14/2026 2:41:52,0: Never learned coding before college.,2: R and Ptyhon.,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,One moment the tool helped me understand SQL was when I used JOIN to connect the chat_inbox and channels tables. Seeing the channel names appear with the messages made it clear how tables relate through foreign keys. It helped me better understand how schema design supports queries that combine data from multiple tables.,"The most frustrating part was debugging the SQL queries when they did not return the expected results. Sometimes a small mistake, like a missing condition or incorrect join, caused the query to fail or produce wrong outputs. It took several attempts to identify the issue, but it helped me better understand how SQL queries work.","One thing I didn’t expect to learn was how much database design affects how easy it is to write SQL queries later. When the schema is well organized with clear relationships and foreign keys, writing queries becomes much simpler. This project helped me understand that good schema design is just as important as writing the queries themselves.",No. Working in a team was helpful because we could divide tasks and check each other’s work. Sometimes someone else would notice an issue in the SQL or schema that I missed. Collaboration also made debugging easier since we could discuss different approaches and solve problems faster.,"I would suggest starting early and testing your SQL queries frequently. Running queries step by step in pgAdmin before putting them into the app can save a lot of time when debugging. It’s also helpful to clearly understand the relationships between tables, because many queries depend on how the schema is designed. Finally, communicate often with your teammates and divide the tasks so everyone can focus on different parts of the project while still helping review each other’s work."
3/14/2026 3:30:59,"2 in high school, and weekly classes during elementary / middle school outside of school",6,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,3-4,"It was useful to be able to see how each individual query impacted the user's view of and interaction with the app. This allowed me to understand how all the different components fit together, and how issues in one could impact the functionality of the others.",It was frustrating to have to paste our queries into the backend lab every time we wanted to interact with the app because it kept logging us out and the queries would not save. This was frustrating because it is a tedious process that we had to repeat many times throughout different milestones.,"I learned the importance of thinking through different elements and constraints in the beginning, as it was a more challenging process to go back and make adjustments when needed than I was expecting.","No, I think it was useful to work through difficult sections with others and have the opportunity to compare approaches / interpretations to decide on the best one.",Start working on the milestones as soon as possible to have the time to ask questions and work through issues / confusions before deadlines. Work with your group at every step and clearly communicate with each other to ensure all part fit together and everyone is learning the content by applying the concepts.
3/14/2026 4:56:04,0,3,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,6 hours,"A moment where the tool helped me was when i was learning about joins, in particular left, right, self, inner and full joins. Class slides and lecture were really helpful in laying fundation but taking time out and really learning it indidually helped me really understand joins thanks to use of the tool.","The frustrating part was sometimes the tool didn't really explain or answer possible questions that i had, felt like the information it gave was broad at times.",The importance of schema design(ERDs) and how they built groundwork for building tables and creating queries.,"No, i enjoyed collaborating with my group mates and i thought we did a great job on the milestones, really tested each other to make sure we do it correctly.",Read all the deliverables in depth to get good understanding of what the project is and what's going to be expected of you. Going to lecture consistently and doing homework will ensure you do well on project deliverables.
3/14/2026 10:16:02,3,8,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,4 hours,The populate_db tool at helped clarify how schema design impacts real data imports. The tool previewed the CSV columns and suggested schema mappings which forced us to consider the length of incoming data. This served as a reminder of why choosing appropriate data types matters. Actual data may break your app if you're too restrictive. Writing the ALTER TABLE commands felt like maintaining a real system.,"The most frustrating part was manually generating data by logging in and out repeatedly as different users. We had to hit at least 120 messages across 10 users, and keeping track of who posted what became tedious. It was also easy to lose context when switching between incognito windows. Sometimes I forgot which user I was logged in as or what channel was open and consequently interrupted the flow of a conversation. This process initially felt disconnected from the more interesting SQL analysis later.","I didn't expect to learn how much thought goes into defining activity and engagement in a chat app. When we ran queries like messages per member or average response time, we had to consider what those metrics actually mean. For instance, does a user who posts once but gets many replies count as active? These questions made me understand how database queries translate human behavior into measurable definitions.","No, I think it works better with a partner. There’s a lot of back and forth between schema design, query writing, and debugging. Having someone to talk through errors with made a big difference, and dividing up the milestones kept us from burning out.","Although the data generation step of milestone 5 can feel very frustrating, I suggest not just rushing through it. It was surprisingly worth it to create meaningful conversations because your SQL insights will actually reflect real patterns and the fruits of your labor. Also collaborate early on query logic. Explain your approach to teammates and have them do the same because otherwise you’ll likely lose points for inconsistent logic."
3/14/2026 14:30:01,0,3-5,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,3-4,"I have no idea what ""tool"" means here. If you mean the SQL Lab Tab page, then it helped me understand what I was supposed to include in some of our queries. It was a very helpful guide.               ","For me, the most frustrating part of this project came in Milestone #5 where we had to write queries using things we didn't learn in class. It was stuff we had to learn on our own from Homework #5 and even then it was possible to complete the homework without learning that. Only 1/3 of us learned the necessary code.",I would say indexes. I had only a small idea of what we may learn in this class as I had no idea what SQL was before.,"I think it would have been fine doing in alone, but for this project I really liked my groupmates and so no, I would want to do it as a group;.",I would want them to know that you have to engage with the material on your own time a lot in order to really understand what it is you're doing in the project. I found myself looking back at personal notes and slides a lot during the project.
3/14/2026 20:29:30,0,6,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,3-4,"pgAdmin was helpful as I could see visually how my queries were impacting the database design, especially with the tables. The project was harder as there were some hidden code I had to infer, for example, I didn't understand what the $ + plus a number meant at first.",Copy-pasting my queries every time I closed the chat app and opened it again was frustrating and just busy work.,"II didn't expect to learn how to design the databases so clearly, or at least didn't expect to succeed at understanding them. This is the kind of computer science that before taking this class I would've predicted I wouldn't do well at.","No, I liked being able to bounce my ideas off other people and having people to reach out to when I didn't understand something. I probably wouldn't have made any meaningful connections in the class without the project groups.","I would explain to them how inputs would work in the chat app, that the $1 and $2 refer to user input. I would probably also say that aliases become extremely helpful in the later milestones, if you used different names in the first new milestones you don't have to change everything when you start querying in the app."
3/14/2026 21:20:55,a little on python and tableu,"cse 121 to 123, info 201",Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,personally 2h,"Working on the data dictionary and trying to explain why certain fields should be primary keys, foreign keys, or just unique attributes is most helpful. I learned to tell the differences between a user-facing field, like a channel name, and a stable database identifier, like an auto-generated ID. That made schema design feel more logical to me instead of just memorizing rules.","debugging small mismatches between the schema and what the app expected, because sometimes the overall idea was correct, but a slightly off column name, return column, or parameter order could make a query fail and that tiny detail was hard to find.","The database is like the foundation of the app, and every setup matters for future operations. Because if the schema is not designed carefully, even simple actions like joining a channel or loading messages become much harder.","No, collaboration is better since the workload is large, and communication between peers can also help us learn.","not to treat each milestone as a completely separate task. It helps a lot to think ahead, because decisions in the early schema design stage can affect later milestones like SQL Lab and analytics. I would also recommend them testing in both pgAdmin and the app more often instead of waiting until the end, since many issues only show up when the frontend actually uses your queries. Most importantly is not get discouraged by debugging, because a lot of the learning in this project comes from fixing small mistakes and understanding why they matter."
3/14/2026 21:21:34,2,4,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,2 hours,"The front-end of the SQL Chat already being set up allowed me to view the database as an actual app that I was working on rather than just a school project. Additionally, it helped demonstrate how the queries functioned in the application.",The most frustrating part was that one of our queries passed the test in the Lab but was not actually correct.,"I feel as if I learned actual code and concepts I could apply in a professional setting, not just an academic one.",I am glad that we worked in groups for this project because I had a great group and we were all able to utilize our individual strengths and help each other if someone got stuck.,"​​Although this project may appear to be very daunting, it consists mostly of concepts we learned in class, so just be patient when working through the milestones. Also, reach out to the instructor and TAs if additional support is needed."
3/14/2026 21:57:30,1,5,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,4,"The SQL lab where it explains how the queries should work when you write them was a great way of helping me connect SQL to functionality. This is because when I would just write the queries all I would see was the commands and values, and even though I knew what the queries were doing, it was hard to just look at it and convert that to a certain button. ","For me, sometimes it took time to start writing a query because I had to think for a bit and take a look at the tables and columns to refresh my mind and start connecting pieces. This was frustrating because at a certain point I felt like I shouldn't have needed to do that. ","I learned how I could translate other apps and systems into DDLs. I think this is because of the familiarity I had with the chat app. Then I saw the DDL my group mate made for the chat app, which helped me understand DDLs more because I saw it in a context more familiar, and it allowed to do the same for other random apps and systems I thought of.","No, this project can definitely be done individually, but it would be way harder because of the amount of details you need to keep track, and the time you'd have to put in. For example, creating an ERD on your own is so much more difficult than with two other people, because of the amount details you need to keep track of like attributes, cardinality, foreign keys, etc. Collaborating and working together with my group helped me understand most concepts taught in the class much better, and helped me be more efficient, as well as the whole group. ","When reading instructions or expectations of what queries are supposed to do, make sure you read everything closely, even the parts you're not working on. Understanding every detail about each milestone key to not getting confused when doing your own share of work."
3/14/2026 22:42:52,0,3,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,10,"When I was writing queries with joins for the project. I understood the idea, but I wasn't sure how to structure the SQL correctly. The tool helped me see examples and fix errors, which made it easier to understand.","The most frustrating part was figuring out why some of our queries were not working even though they looked correct. Sometimes the issue was small things like table aliases, join conditions, or missing commas, which were hard to notice. It took time to debug and understand what the database was actually expecting.","One thing I didn't expect to learn was how important schema design is before writing queries. At first, I thought SQL was mostly about writing queries, but through the project, I realized that how the tables are structured and connected makes a big difference. If the schema is designed well, the queries become much easier to write and understand","Yes, I think doing the project individually might have helped me learn the whole process more deeply. In a group project, tasks are often divided, so I mainly focused on certain parts. Doing it individually could have helped me practice all parts of the process and understand the workflow more fully.",I would tell future students to spend enough time understanding the schema and relationships between tables before writing SQL queries. Having a clear idea of how the tables connect makes the queries much easier to write later.
3/15/2026 3:17:17,0,4,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,~2 each ,"I would say one moment when the tool helped me better understand SQL/schema design was through it's error messages, as this helped guide me to debug SQL by comparing the expected vs. the actual outputs. ",The most frustrating part about the tool was that it doesn't give reasons to why my SQL output fails,Something I learned through this project that I didn't expect to was writing more advanced SQL queries to analyze the new messaging data. ,"No; I liked having it as a group project because I was able to collaborate with teammates when I was struggling with creating queries, navigating pgAdmin, etc. ","Even though it is a group project, not all assignment should be split equally to work on asynchronously and individually (ie: delegating individual tasks is not always the best/smartest way to get the work done) Many of the milestone assignments require you to discuss with your group members!"
3/15/2026 3:32:24,1,5,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,2,"One moment when the tool helped me understand schema design is when reading the input and output variables. Using ""$1"" and ""$2"" helped me understand how the rows in the database were being created. This allowed me to understand the data flow of the application. ","The most frustrating part was the SQL backend lab sometimes resetting, forcing me to copy and paste all the SQL Queries back inside. ",Something I learned that I didn't expect was schema design. I learned how to weigh certain attributes and how to remove attributes when they weren't needed. ,"Although I admit many milestones I felt were able to be done individually, I would not have preferred to do this project individually. Especially in early milestone, having different perspectives and table creation had big impacts on tradeoffs, especially when team members checked each others work. ","I would want them to know how important initial schema design is. When developing an application and its data flow, you need abstraction. You need to understand what data is actually needed so you can collect it. It is the foundation you need before creating and adding data. "
3/15/2026 4:40:56,5,1,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,5,"The tool was easy to navigate and helped me realize how powerful SQL was and the real-world implications of it. Specifically, seeing the data get stored in the data tables was mind blowing and really helped me understand scheme design.",the strict rules especially with password_hash and password. I had a hard time looking back and also updating the PGAdmin tables since it wasn't lined up properly.,"I didn't expect to understand SQL this in depth but now that I do I am super thankful for it. While I expected to learn some sql, being able to feel like I have skill in it is such a confidence booster.","I would have not preferred to do this project individually. It is super daunting at first, so having a group to rely on is very helpful.","If I had to send future INFO 330 sections a message about how to better engage with the project, I would want them to know that they should communicate effectively with the rest of the group and to not push milestones to the last minute!"
3/15/2026 5:33:02,0,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3h,"Once when learning SQL and database schema design, I struggled to understand how to model many-to-many relationships. With the help of a learning tool that provided examples and explanations, I was able to see the logic more clearly. For example, in a student–course scenario, one student can take many courses and each course can have many students, so using only two tables is not enough. The tool showed that an additional junction table, such as `enrollments`, is needed to store `student_id` and `course_id` as foreign keys. By demonstrating the table structure and example SQL queries, it helped me understand how the tables connect and why normalization and junction tables are important when designing relational databases.","The most frustrating part was figuring out how to design the database schema correctly, especially when deciding how tables should relate to each other. At first, it was confusing to determine when to use foreign keys or when a junction table was needed. Sometimes the schema looked correct but didn’t work well when writing SQL queries. It took several revisions to understand how normalization and relationships affect the structure of the database.","One thing I didn’t expect to learn was how important database schema design is before writing any SQL queries. I initially thought SQL was mostly about writing queries, but I realized that a well-designed schema makes querying much easier and more efficient. Understanding concepts like normalization and many-to-many relationships helped me see how data should be organized in a relational database.","No, I would not have preferred to do this project individually. Working in a group allowed us to share ideas and discuss different ways to design the schema. Sometimes other group members noticed problems or suggested improvements that I didn’t think about. Collaboration helped us solve issues faster and made the project more manageable.","I would tell future students to start thinking about the database schema early and spend time understanding the relationships between tables. Planning the structure first makes the rest of the project much easier. It’s also helpful to communicate with teammates regularly and review each other’s ideas. Finally, don’t be afraid to revise the schema multiple times, because improving the design is part of the learning process."
3/15/2026 19:19:48,1,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,3,"When we ran the Chat App ""Test Schema"", it kept failing because our table/column name didn't match what the frontend expected. Seeing errors like ""column name does not exist"" made it click that schema design isn't just theory, naming and constraints must align across components. Fixing it helped me understand PK/FK choices and why consistency matters.","The most frustrating part was chasing ""schema looks good"" but still failing individual SQL Lab queries. Small mismatches in column names, parameters, or expected outputs caused confusing errors and stopped progress.","I tried to understand the underlying logic behind each company's workflow, which I didn't expect to be necessary.","No, because having a partner is very important when you run into errors.","Don’t treat the project like isolated SQL questions. Keep your ERD, data dictionary, and actual table definitions perfectly consistent, and test early in the app—not just in pgAdmin. When something fails, read the exact error and trace it to a specific column, constraint, or parameter. Debugging is part of the learning."
3/15/2026 21:52:48,None,4,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,5 hours,"When we were working on Milestone 4, it was really interesting to see the queries we wrote turn into actual app functionality, such as the login feature. Another moment is seeing the seed data we inserted eventually appear on the front end because it helped me really understand how the data is actually being used within the application.","Team coordination has been challenging because my teammates and I all have very different schedules, which makes it difficult to find time to meet and discuss the app requirements together. As a result, we often end up splitting the work into separate parts rather than collaborating closely, which is not what I originally expected group work to look like.

In the initial stages of the project, one thing I found particularly frustrating was the feedback on our design choices. There seemed to be a misalignment between the task description and the actual expectations. For example, when selecting and naming attributes for each entity, there was technically room for design flexibility, but we had to spend a significant amount of effort justifying our decisions without any guarantee they would be approved. Later in the project, some of our earlier design choices ended up not aligning with the project expectations, which made the process feel even more frustrating.","From a technical perspective, one new concept I learned from this class and project was using CTEs to produce results, rather than relying only on joins and subqueries. This was something I had not encountered in my previous database classes. I also did not expect to learn how to write a well documented design justification. I initially thought the project would mostly focus on writing SQL queries, but explaining and defending our design choices turned out to be an important part of the process.

From a teamwork perspective, patience and clear communication were skills I did not expect to develop as much through this project. At times, a teammate’s output was different from what I expected, and it required deciding whether to rewrite the work myself or communicate with the team to resolve the issue, especially when deadlines for each milestone were approaching. This experience made me more aware of the importance of patience and constructive communication in group work.","I would have preferred to complete this project individually because many parts of the work are difficult to collaborate on effectively. If it were done individually, each person would have the opportunity to practice writing every query and constructing the ERD themselves. In addition, any misalignment in system design understanding can easily cause the system to break, which makes coordination more complicated when working in a group.","While working on the project, it is better not to read the entire project specification at once. Instead, focus only on the requirements within the current milestone. Reading the whole document can sometimes lead to overthinking and unnecessary confusion about parts of the project that are not immediately relevant."
3/15/2026 23:01:07,none,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,I felt really glad when I successfully run the query and get the data I want. It makes me feel like I understand the knowledge and actually participate the technology. I wish I could have these kind of moments more in the future.,"The most frustrating part is understand what the requirements ask me to do. Sometimes I need to ask AI to fully understand the requirements, maybe it's better if somebody can lead us to the page.","I didn't expect to make a real project, I think we will just have some assignments and homework, but we made an actual chat app.","I'm not sure, maybe I will learn better as somebody done some part that I can't learn now. But if I need to do all of the work, it might be too much and hard for me.","If I'm asked to give them some suggestions, I would say try to follow all the part with the schedule. Once you're not followed with the plan, it might be hard for you to follow and understand everything by yourselves. "
3/15/2026 23:35:55,0,4,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,3,"The tool helped me understand the importance of defining the design before going further into the process, preventing potentially future mistakes and frustrations. Specifically, initially using ERDs to communicate design decisions before greater mistakes were made because our group was able to check our work with each other and the teaching team.","The most frustrating part was when the tool did not specify exactly what needed to be debugged, and hours were spent trying to figure out what needed to be changed. Generally, getting feedback which was not specific made the process less efficient and more frustrating. ","I learned how different tools can work together to work with data, which always was confusing to me before taking the class. Such helped me better understand how front and end development work together.","No, because the material was confusing to understand without the help of my peers.","Take the advice given on milestones seriously, to prevent future mistakes on different milestones. It is useful to understand where points may be taken off, and to understand the reasoning behind why these points may be taken off."
3/16/2026 3:23:18,0,4,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,5-7,"At one point I didn't know how to go about the many-to-many relationship between users and channels. The idea that a user can be join different channels and each channel can have multiple users, initially felt a bit overwhelming and didn't know where to store. I turned to the chat tool and after seeing it visually I was able to better understand what was expected. It showed me that the channel members table would contain user id and channel id. Overall by walking through the dies step-by-step the tool helped me understand the why's. Made me realize how designing a schema is about thinking through the relationship between entities in the system rather than just creating tables for every entity without considering how they'll react with each other. ",One part that got a bit confusing was the fact that as a group were were all trying to work on different parts of the database and things got messy from the start which messed us up for the other milestones. ,"Using SQL chat lab, I had assume most of this class would be on pgAdmin so its been an interesting shift in how we approached SQL learning. Instead of only working directly we interacted more on conceptual understanding and interactive problem-solving. ","Yes, although working in a group made the workload lighter for each of us coordinating with a team with different schedule and pace is hard to keep track and getting it done earlier then waiting last minute to do so. ","I would definitely say trust the process. At first, a lot of the things we were doing didn't make sense, or felt tedious without being able to see direct impact, but building a strong foundation pays off. Once everything was starting to be in place, it was rewarding to see the final result like being able to send messages, creating channels and more. "
3/16/2026 4:56:27,4,3,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,5,"I think the slideshow is really helpful for understanding how SQL works, and you can review it later. All the homework is very well structured. If you can complete all the homework questions on your own, you can do well on all the milestones. ","The most frustrating part of this project is designing the backend without knowing how it can be translated into the front-end. Like password-hash, I was told to never store passwords in plain text, but when we first designed it, I thought we needed to do that because we were not sure how the hash function worked. ","I think coding wise everything is pretty in expected. We apply pretty much everything we were taught in class, did not use anything outside the range. The last milestone is harder you have to google a lot try to understand how the CTEs and subqueries works. ","I prefer to do this project individually because SQL can be hard to cooperate with. It is not like regular code, you can connect to GitHub, and everyone can push stuff. Someone has to finish the first part so other people can do the rest, but sometimes it can be hard to distribute the work evenly, especially when a teammate doesn't share their work on time. ","Communication is the key to teamwork. Always check how your teammate is doing, help them if they need it, their performance will also affect your grade. Make sure you understand every part of the homework so you can use that knowledge well in the final project. "
3/16/2026 14:17:23,0,2,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,4-6? ,One moment when the tool helped me understand SQL better was when I was trying to write a query and wasn’t sure why it wasn’t working. The tool helped explain what was wrong and how SQL logic works.It helped me feel more confident when working with SQL.,"The most frustrating part was when my SQL wouldn’t work even after I tried different things. Sometimes the query looked correct, but it still gave an error or the wrong result. It was frustrating because it was hard to know exactly what went wrong. Small mistakes in syntax or logic could break the whole query.","One thing I didn’t expect to learn was how much thinking goes into designing the database structure before even writing queries. I used to think SQL was mostly about writing commands, but this project showed me that schema design is just as important. You have to think about how data connects and how the system will actually be used.","no, i had amazing team! after this project i found out team project wasnt bad at all","One thing I would tell future students is to start early and spend time understanding the schema before writing queries. It really helps to think about how the tables connect and what each column represents. I would also suggest testing queries step by step instead of writing a very long query at once. If something doesn’t work, try breaking it into smaller parts to see where the problem is. Talking with teammates and comparing approaches is also very helpful because different people may notice different issues."
3/16/2026 16:46:11,3,5,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3,"The frontend was most useful for actually seeing results not as just a table, but how users would see the returned values. This more intuitive understanding of what the system needed from the database helped me to understand how to design the database and implement features.","Sometimes we would get feedback on a milestone that didn't actually help us identify the mistake we made. I think this is the balance of open-ended vs strict assignments: strict means easier to grade due to less variability, whereas open-ended allows more student creativity but is ultimately more work to grade.",Assessing user needs by actually behaving as the user was a big part of what I learned from working with the frontend while designing the backend.,Yes. This project really wasn't that involved/difficult if you followed along with course content. I understand how this would then put pressure on a more strict final output to make assessing 70 students easier.,"Read the milestone spec thoroughly, but then remember to ask the teaching team questions when you are confused. This class can be a lot of new knowledge for most students, and you will struggle if you don't use your resources. And don't use AI, you won't retain anything and will flounder when you get to the real world; this project is such a great opportunity to understand a real world implementation of databases."
3/16/2026 17:56:10,2,3,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,3,"When I was trying to figure out how to structure the relationships between tables, the tool helped me visualize how foreign keys connect entities. Seeing the schema laid out visually made it click in a way that just reading about normalization didn't.","Debugging queries that returned unexpected results — especially when joins produced duplicate rows or NULLs I didn't anticipate. It was hard to tell whether the issue was in my schema design or the query logic itself, which made troubleshooting take much longer than expected.","I didn't expect to care about data types as much as I ended up having to. Choosing between VARCHAR lengths or how to store dates seemed trivial at first, but small decisions like that had real downstream effects on query behavior and storage.","No, working with a teammates was actually valuable. Talking through schema decisions out loud helped catch design flaws early. When one person gets tunnel vision, the other can push back and ask ""why are we storing it this way?""","No — working with a partner was actually valuable. Talking through schema decisions out loud helped catch design flaws early. When one person gets tunnel vision, the other can push back and ask ""why are we storing it this way?"""
3/16/2026 18:41:20,3,3,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,6-8 hours,"One moment where the tool really helped me understand SQL was when we were structuring relationships between tables in our schema. While designing the database, I initially thought of tables more like separate spreadsheets. However, when we started writing SQL queries that required joining tables together, I realized how important primary keys and foreign keys were for connecting data. Using the tool to visualize or test queries made it clearer how relationships between tables work and why normalization matters. It helped me see how a well-designed schema makes queries simpler and more efficient.","The most frustrating part was debugging SQL queries when they weren’t returning the expected results. Sometimes the issue was a small mistake, such as an incorrect join condition or missing filter, but it could take a long time to figure out what exactly was wrong. SQL is very precise, so even a small error can cause unexpected outputs. This process was frustrating at times, but it also forced me to carefully analyze how the data was structured and how queries interact with that structure.","One thing I learned that I didn’t expect was how much schema design impacts everything that comes later. I initially thought writing queries would be the hardest part, but I realized that if the schema is designed well, many queries become much easier to write. This project showed me that database design is not just about storing data, but about anticipating how the data will be used in queries and applications.","No, I would not have preferred to do the project individually. Working in a group helped because everyone brought different perspectives and approaches to solving problems. Sometimes one person would notice a schema issue or query mistake that others missed. Collaboration also made it easier to divide tasks such as designing tables, writing queries, and testing the database.","I would encourage future students to spend more time planning their schema before starting to write queries. It can be tempting to jump straight into coding, but having a clear schema with well-defined relationships makes the rest of the project much easier. I would also recommend testing queries early and often instead of waiting until the end. Finally, treating the project like a real system design problem rather than just an assignment helps make the experience much more meaningful."
3/16/2026 18:42:56,2 high school level python class.,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,30,"One moment was when I was trying to understand how tables should connect using primary and foreign keys. The tool explained how relationships work between tables, which helped me see how the schema should be structured.",The most frustrating part was debugging SQL queries. Sometimes the queries would not work and it was hard to figure out what small mistake was causing the error.,I did not expect to learn how important database design is before writing queries. I realized that a well-designed schema makes writing SQL much easier.,No. Working in a group helped because we could share ideas and help each other when someone got stuck.,"Start the project early and spend time planning the database schema before writing SQL queries. A clear schema will make the rest of the project much easier. It also helps to communicate often with your group so everyone understands their tasks and stays on track. Don’t wait until the last minute to test queries, because debugging takes time. Asking questions and using feedback during the milestones can also really help improve the final project."
3/16/2026 19:30:23,1,2,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,3 hours,I think the SQL Lab really helped me to understand how SQL codes connect to the front end of the chat app. We had to test each SQL to see if it works in our app and it helped us to automatically check for errors we had. We learned a lot through the process.,The most frustrating part was coming up with SQLs that works efficiently. There were some code that were really challenging and it took time to edit them and make them work.,I didn't expect to have an analytical milestone after we completing the implementation of the schemas onto the website. I learned how the system could be tested after populating the data into our database.,I think it is better to do this project in group because we can then communicate ideas with each other and improve on the SQL together.,The project is straightforward and I learned a lot from it. If you are stuck on any parts of the project or have any questions remember to ask the professor or the TA. They are really helpful and helped me to understand the project better.
